"Cruise","Station","Date","Latitude [deg]","Longitude [deg]","Pressure [db]","Temperature [deg C]","Temperature [deg C]","Conductivity [S/m]","Conductivity [S/m]","Oxygen [umol/l]","Fluorescence [ug/l]","Beam Transmission [%]","Beam Attenuation [1/m]","Salinity [PSU]","Salinity [PSU]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","flag [# name 17 = flag: flag]"
"NOR1_T007","LD1",2020-11-30,22.31214,120.54294,4,26.9946,26.9901,5.412324,5.410642,213.333,0.261,76.2953,1.0822,34.2559,34.2472,22.1594,22.1543,1022.1763,1022.1712,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54294,5,26.9942,26.9939,5.412312,5.411175,213.882,0.2295,76.1257,1.0911,34.2557,34.2479,22.1595,22.1536,1022.1806,1022.1748,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54295,6,26.9975,26.9967,5.412768,5.411573,213.023,0.2326,76.4695,1.0731,34.2563,34.2484,22.159,22.1532,1022.1843,1022.1786,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54296,7,26.993,26.9962,5.412255,5.411558,214.205,0.2268,76.276,1.0833,34.2556,34.2483,22.1599,22.1534,1022.1895,1022.183,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54296,8,26.9924,26.9944,5.412191,5.411363,213.484,0.2391,75.9489,1.1004,34.2553,34.248,22.16,22.1538,1022.1938,1022.1876,0
"NOR1_T007","LD1",2020-11-30,22.31214,120.54296,9,26.99,26.993,5.411939,5.411247,213.628,0.2346,75.6943,1.1139,34.255,34.2479,22.1606,22.1543,1022.1986,1022.1923,0
"NOR1_T007","LD1",2020-11-30,22.31215,120.54296,10,26.9844,26.9908,5.411319,5.411009,213.893,0.2728,75.5711,1.1204,34.2544,34.2475,22.162,22.1547,1022.2043,1022.1969,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54296,11,26.9768,26.9796,5.410264,5.409635,212.454,0.2756,74.2526,1.191,34.2523,34.2457,22.1629,22.157,1022.2093,1022.2035,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,12,26.9729,26.9735,5.409804,5.408797,211.27,0.2873,71.789,1.3258,34.2515,34.2439,22.1636,22.1577,1022.2143,1022.2084,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,13,26.9724,26.9733,5.40977,5.408796,210.6,0.3171,71.8559,1.322,34.2514,34.2437,22.1637,22.1577,1022.2186,1022.2126,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,14,26.9713,26.9727,5.409678,5.408792,211.548,0.3127,71.3194,1.3521,34.2512,34.2439,22.164,22.1581,1022.2232,1022.2172,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,15,26.9675,26.9707,5.409082,5.40855,211.286,0.3029,69.8898,1.4333,34.2494,34.2433,22.164,22.1583,1022.2273,1022.2217,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,16,26.959,26.965,5.407911,5.40772,209.722,0.3382,66.6888,1.621,34.2471,34.2413,22.165,22.1588,1022.2326,1022.2264,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,17,26.9586,26.96,5.407869,5.407002,207.545,0.4935,65.7233,1.6789,34.2468,34.2396,22.1649,22.1591,1022.2368,1022.231,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,18,26.9559,26.9577,5.407503,5.406687,208.254,0.4026,65.1134,1.7162,34.2459,34.2387,22.1652,22.1593,1022.2413,1022.2353,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,19,26.9548,26.9553,5.407427,5.406407,207.29,0.3438,64.4956,1.7543,34.2459,34.2382,22.1656,22.1597,1022.2459,1022.24,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54298,20,26.9553,26.9549,5.407523,5.406385,207.827,0.3486,64.2723,1.7682,34.2459,34.238,22.1656,22.1598,1022.2501,1022.2443,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.543,21,26.9518,26.9532,5.407071,5.406197,207.536,0.3746,63.9462,1.7886,34.2449,34.2377,22.166,22.1601,1022.2547,1022.2488,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.543,22,26.9474,26.9494,5.406517,5.405726,206.974,0.4285,62.7579,1.8636,34.2439,34.2368,22.1668,22.1607,1022.2597,1022.2537,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54301,23,26.9433,26.9426,5.406265,5.405023,205.799,0.3826,61.0357,1.9745,34.2448,34.2365,22.1688,22.1628,1022.266,1022.2599,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54302,22,26.9464,26.9478,5.406418,5.405456,206.118,0.3183,61.6683,1.9336,34.2439,34.2361,22.167,22.1607,1022.26,1022.2537,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,21,26.9485,26.9489,5.406621,5.405554,205.694,0.3209,61.9049,1.9183,34.2442,34.2363,22.1665,22.1604,1022.2552,1022.2492,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,20,26.9489,26.9488,5.406632,5.405503,206.518,0.3373,62.0173,1.911,34.2442,34.2363,22.1663,22.1604,1022.2508,1022.2449,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,19,26.9496,26.9492,5.406668,5.405499,207.022,0.3489,61.8446,1.9222,34.2442,34.2362,22.166,22.1601,1022.2463,1022.2404,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,18,26.9496,26.9488,5.406726,5.405443,206.465,0.3524,62.1453,1.9029,34.245,34.2364,22.1666,22.1603,1022.2426,1022.2364,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,17,26.9663,26.965,5.409067,5.407671,206.245,0.35,68.5767,1.5092,34.2496,34.2407,22.1647,22.1583,1022.2365,1022.2302,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54304,16,26.9641,26.9644,5.408755,5.407658,211.008,0.3494,68.6352,1.5055,34.2493,34.2413,22.165,22.159,1022.2326,1022.2266,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54305,15,26.9657,26.9649,5.408944,5.407714,209.726,0.3662,69.1129,1.4777,34.2498,34.2417,22.1648,22.159,1022.2282,1022.2223,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54306,14,26.9658,26.966,5.408908,5.407819,209.799,0.3661,69.2535,1.4697,34.2498,34.2419,22.1647,22.1587,1022.2239,1022.2178,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54306,13,26.9656,26.9652,5.408889,5.407682,210.256,0.3457,69.3194,1.4658,34.2501,34.2418,22.165,22.1588,1022.2199,1022.2137,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54306,12,26.9743,26.9744,5.410114,5.408969,210.929,0.3007,71.2682,1.355,34.2527,34.2445,22.164,22.1578,1022.2147,1022.2086,0
"NOR1_T007","LD1",2020-11-30,22.31216,120.54307,11,26.9829,26.9812,5.411354,5.409971,212.021,0.3328,74.7356,1.1657,34.2555,34.2469,22.1633,22.1574,1022.2098,1022.2039,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54308,10,26.9854,26.9846,5.411679,5.410419,213.4,0.4089,76.3858,1.0775,34.2562,34.2479,22.163,22.157,1022.2053,1022.1992,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54308,9,26.9862,26.9857,5.411743,5.410526,213.785,0.3172,76.8202,1.0548,34.2564,34.2481,22.1628,22.1567,1022.2009,1022.1948,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54308,8,26.9871,26.9862,5.411777,5.410565,214.162,0.2976,76.8732,1.0521,34.2563,34.2483,22.1624,22.1566,1022.1962,1022.1904,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54308,7,26.9875,26.987,5.41178,5.410595,213.715,0.2915,76.7958,1.0561,34.2563,34.2483,22.1622,22.1563,1022.1918,1022.1859,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54308,6,26.9882,26.9878,5.411812,5.410631,213.537,0.2785,76.6705,1.0626,34.2563,34.2482,22.1619,22.156,1022.1873,1022.1813,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.54309,5,26.9898,26.99,5.411907,5.410788,213.563,0.2849,76.7185,1.0601,34.2562,34.248,22.1612,22.155,1022.1823,1022.1762,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.5431,4,26.9904,26.989,5.411965,5.410468,214.266,0.267,76.8487,1.0533,34.2564,34.2468,22.1611,22.1543,1022.178,1022.1712,0
"NOR1_T007","LD1",2020-11-30,22.31218,120.5431,3,26.997,26.9953,5.412685,5.411387,213.902,0.2362,77.2202,1.034,34.257,34.249,22.1594,22.1539,1022.1721,1022.1666,0
