"Cruise","Station","Integrated_Prod.mean","In_situ_Integrated_Prod.mean","Integrated_Prod_at_10C.mean","Integrated_Prod.sd","In_situ_Integrated_Prod.sd","Integrated_Prod_at_10C.sd","Integrated_Prod.length","In_situ_Integrated_Prod.length","Integrated_Prod_at_10C.length"
"OR1_1169","GS5",-3.72344177964685e-06,-1.67919984864826e-06,-2.69781348173239e-06,6.78666087498089e-05,4.07477581070775e-05,6.54656152215213e-05,16,16,16
"OR1_1169","GS7",-2.29296553666817e-05,-1.30505033668088e-05,-2.20881172852945e-05,4.30449447734042e-05,2.47137980330598e-05,4.1828368927718e-05,8,8,8
"OR1_1182","KS1",-0.00015891433471708,-0.000203390073168812,-0.000148272317119159,0.000100969404494023,0.000129227955454187,9.4207785528748e-05,2,2,2
"OR1_1182","KS2",-8.62015821824075e-05,-7.56341448553977e-05,-8.04289200988576e-05,7.64767404612288e-05,6.71014698300249e-05,7.13553219355243e-05,2,2,2
"OR1_1182","KS3",-7.11046330455001e-05,-5.43361959310045e-05,-6.63429684825699e-05,0.000135499716729667,0.000103545139626942,0.000126425706052671,3,3,3
"OR1_1182","SC2a",-7.29422353339152e-05,-6.28088452514926e-05,-6.80575120429847e-05,9.47101913779453e-05,8.15527208175747e-05,8.83677331903879e-05,2,2,2
"OR1_1190","FC1",-0.00303458476516279,-0.00318968536161286,-0.0024648487474496,,,,1,1,1
"OR1_1190","FC2",-0.00568638189406433,-0.00367488556668258,-0.00461877732005046,,,,1,1,1
"OR1_1190","FC2A",-0.00180258691012623,-0.00116494121255355,-0.00146415553739041,,,,1,1,1
"OR1_1190","FC3",-0.00417994249320155,-0.00250770868089634,-0.00339516830673422,,,,1,1,1
"OR1_1190","FC4",-0.00155158617039342,-0.00087446375219178,-0.00126027958505525,,,,1,1,1
"OR1_1190","FS1",-0.00321671767491928,-0.00342307440684618,-0.00261278663985464,,,,1,1,1
"OR1_1190","FS2",-0.000514610672708137,-0.000396500598785736,-0.000417993752097679,,,,1,1,1
"OR1_1190","FS3",-0.000873326748705619,-0.000672174833456223,-0.000709361744438139,,,,1,1,1
"OR1_1190","FS5C",-0.000343397337193661,-0.000189064983162369,-0.000278925310037901,,,,1,1,1
"OR1_1190","GC1",-0.00809157875885246,-0.00784327517061816,-0.00657240423718312,0.000658644945743529,0.0006384333271862,0.000534985935528104,2,2,2
"OR1_1190","GC3",-0.0149009293961473,-0.0102154232768386,-0.0121033156099557,,,,1,1,1
"OR1_1190","GC4",-0.0132005614032037,-0.00719961144713006,-0.0107221876329998,,,,1,1,1
"OR1_1190","GC5",-0.00941034055614006,-0.00476549232657895,-0.00764357166725303,,,,1,1,1
"OR1_1190","GC6",-0.00197239749950427,-0.000977786909296871,-0.00160208459553939,,,,1,1,1
"OR1_1190","GS1",-0.00299407371374331,-0.00293453735749337,-0.00243194354885522,,,,1,1,1
"OR1_1190","GS3",-0.0026874047442725,-0.00172689490413673,-0.00218285094351445,,,,1,1,1
"OR1_1190","GS4",-0.00264669450644931,-0.00161742260755032,-0.00214978395528634,,,,1,1,1
"OR1_1190","GS5",-0.00946704491119935,-0.00489124760783785,-0.00768962991553378,,,,1,1,1
"OR1_1190","GS5B",-0.00159472912550325,-0.000806897911557952,-0.0012953225537291,,,,1,1,1
"OR1_1190","GS6",-0.000677867559684609,-0.000330961888963783,-0.000550599549765977,,,,1,1,1
"OR1_1190","HC1",-0.00158499073142639,-0.00157021205243722,-0.00128741251980351,,,,1,1,1
"OR1_1219","GC1",-0.00253383445958782,-0.00110998043849201,-0.000941455136134837,0.00119777321646012,0.000523253077080935,0.000443808989629999,9,9,9
